site|Lat|Long|week|Species|value
Lega Navale|40.7991666666667|13.4302333333333|31|Aedes|0
Lega Navale|40.7991666666667|13.4302333333333|31|Culex|1
Lega Navale|40.7991666666667|13.4302333333333|33|Aedes|0
Lega Navale|40.7991666666667|13.4302333333333|33|Culex|1
Lega Navale|40.7991666666667|13.4302333333333|35|Aedes|0
Lega Navale|40.7991666666667|13.4302333333333|35|Culex|0
Nicco|40.7948|13.4243333333333|24|Aedes|0
Nicco|40.7948|13.4243333333333|24|Culex|3
Nicco|40.7948|13.4243333333333|31|Aedes|0
Nicco|40.7948|13.4243333333333|31|Culex|1
Nicco|40.7948|13.4243333333333|33|Aedes|0
Nicco|40.7948|13.4243333333333|33|Culex|1
Nicco|40.7948|13.4243333333333|34|Aedes|0
Nicco|40.7948|13.4243333333333|34|Culex|1
Nicco|40.7948|13.4243333333333|36|Aedes|0
Nicco|40.7948|13.4243333333333|36|Culex|1
Nicco|40.7948|13.4243333333333|21|Aedes|0
Nicco|40.7948|13.4243333333333|21|Culex|0
Nicco|40.7948|13.4243333333333|27|Aedes|0
Nicco|40.7948|13.4243333333333|27|Culex|0
Nicco|40.7948|13.4243333333333|32|Aedes|0
Nicco|40.7948|13.4243333333333|32|Culex|0
PA Ginestra|40.7870666666667|13.4124333333333|24|Aedes|1
PA Ginestra|40.7870666666667|13.4124333333333|24|Culex|2
PA Ginestra|40.7870666666667|13.4124333333333|27|Aedes|2
PA Ginestra|40.7870666666667|13.4124333333333|27|Culex|6
PA Ginestra|40.7870666666667|13.4124333333333|31|Aedes|0
PA Ginestra|40.7870666666667|13.4124333333333|31|Culex|11
PA Ginestra|40.7870666666667|13.4124333333333|32|Aedes|0
PA Ginestra|40.7870666666667|13.4124333333333|32|Culex|1
PA Ginestra|40.7870666666667|13.4124333333333|33|Aedes|0
PA Ginestra|40.7870666666667|13.4124333333333|33|Culex|2
PA Ginestra|40.7870666666667|13.4124333333333|34|Aedes|0
PA Ginestra|40.7870666666667|13.4124333333333|34|Culex|2
PA Ginestra|40.7870666666667|13.4124333333333|35|Aedes|0
PA Ginestra|40.7870666666667|13.4124333333333|35|Culex|2
PA Ginestra|40.7870666666667|13.4124333333333|36|Aedes|0
PA Ginestra|40.7870666666667|13.4124333333333|36|Culex|2
Sara|40.7897833333333|13.4208166666667|27|Aedes|1
Sara|40.7897833333333|13.4208166666667|27|Culex|1
Sara|40.7897833333333|13.4208166666667|33|Aedes|2
Sara|40.7897833333333|13.4208166666667|33|Culex|4
Sara|40.7897833333333|13.4208166666667|36|Aedes|1
Sara|40.7897833333333|13.4208166666667|36|Culex|42
Sara|40.7897833333333|13.4208166666667|24|Aedes|0
Sara|40.7897833333333|13.4208166666667|24|Culex|7
Sara|40.7897833333333|13.4208166666667|29|Aedes|0
Sara|40.7897833333333|13.4208166666667|29|Culex|2
Sara|40.7897833333333|13.4208166666667|31|Aedes|0
Sara|40.7897833333333|13.4208166666667|31|Culex|2
Sara|40.7897833333333|13.4208166666667|32|Aedes|0
Sara|40.7897833333333|13.4208166666667|32|Culex|4
Sara|40.7897833333333|13.4208166666667|34|Aedes|0
Sara|40.7897833333333|13.4208166666667|34|Culex|7
Sara|40.7897833333333|13.4208166666667|35|Aedes|0
Sara|40.7897833333333|13.4208166666667|35|Culex|15
Sara|40.7897833333333|13.4208166666667|20|Aedes|0
Sara|40.7897833333333|13.4208166666667|20|Culex|0
Sara|40.7897833333333|13.4208166666667|21|Aedes|0
Sara|40.7897833333333|13.4208166666667|21|Culex|0
Vittoria|40.79445|13.4311|24|Aedes|2
Vittoria|40.79445|13.4311|24|Culex|6
Vittoria|40.79445|13.4311|27|Aedes|2
Vittoria|40.79445|13.4311|27|Culex|5
Vittoria|40.79445|13.4311|29|Aedes|6
Vittoria|40.79445|13.4311|29|Culex|5
Vittoria|40.79445|13.4311|31|Aedes|4
Vittoria|40.79445|13.4311|31|Culex|14
Vittoria|40.79445|13.4311|32|Aedes|4
Vittoria|40.79445|13.4311|32|Culex|2
Vittoria|40.79445|13.4311|33|Aedes|14
Vittoria|40.79445|13.4311|33|Culex|2
Vittoria|40.79445|13.4311|34|Aedes|13
Vittoria|40.79445|13.4311|34|Culex|6
Vittoria|40.79445|13.4311|35|Aedes|2
Vittoria|40.79445|13.4311|35|Culex|5
Vittoria|40.79445|13.4311|36|Aedes|2
Vittoria|40.79445|13.4311|36|Culex|7
Vittoria|40.79445|13.4311|21|Aedes|0
Vittoria|40.79445|13.4311|21|Culex|1
Vittoria|40.79445|13.4311|22|Aedes|0
Vittoria|40.79445|13.4311|22|Culex|0
